Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	Epsilon	EpLenMean	EpLenStd	AvgScoresFor100Episodes
dqn10	5	5	1	0.9756650924682617	24.303030303	12.2015519343	57.0	11.0	0.999	24.303030303	12.2015519343	23.303030303
dqn10	5	5	2	1.0427265167236328	24.1470588235	12.0541239049	57.0	11.0	0.998001	24.1470588235	12.0541239049	23.1470588235
dqn10	5	5	3	1.1116607189178467	23.8857142857	11.9780070572	57.0	11.0	0.997002999	23.8857142857	11.9780070572	22.8857142857
dqn10	5	5	4	1.180511236190796	23.6666666667	11.8813579471	57.0	11.0	0.996005996001	23.6666666667	11.8813579471	22.6666666667
dqn10	5	5	5	1.2483196258544922	24.0540540541	11.9479636305	57.0	11.0	0.995009990004999	24.0540540541	11.9479636305	23.0540540541
dqn10	5	5	6	1.3165283203125	23.7631578947	11.9217497182	57.0	11.0	0.994014980014994	23.7631578947	11.9217497182	22.7631578947
dqn10	5	5	7	1.3843863010406494	23.4358974359	11.9395805273	57.0	11.0	0.993020965034979	23.4358974359	11.9395805273	22.4358974359
dqn10	5	5	8	1.4522173404693604	23.65	11.8649694479	57.0	11.0	0.9920279440699441	23.65	11.8649694479	22.65
dqn10	5	5	9	1.5176568031311035	23.3902439024	11.8339693953	57.0	11.0	0.9910359161258742	23.3902439024	11.8339693953	22.3902439024
dqn10	5	5	10	1.5854802131652832	23.1666666667	11.7795558706	57.0	11.0	0.9900448802097482	23.1666666667	11.7795558706	22.1666666667
dqn10	5	5	11	1.6547503471374512	22.9534883721	11.7234677947	57.0	11.0	0.9890548353295385	22.9534883721	11.7234677947	21.9534883721
dqn10	5	5	12	1.7224235534667969	23.1818181818	11.6857969878	57.0	11.0	0.988065780494209	23.1818181818	11.6857969878	22.1818181818
dqn10	5	5	13	1.79026198387146	23.1111111111	11.5647399399	57.0	11.0	0.9870777147137147	23.1111111111	11.5647399399	22.1111111111
dqn10	5	5	14	1.858710527420044	23.2391304348	11.4705384101	57.0	11.0	0.986090636999001	23.2391304348	11.4705384101	22.2391304348
dqn10	5	5	15	1.9263067245483398	23.085106383	11.395836842	57.0	11.0	0.9851045463620021	23.085106383	11.395836842	22.085106383
dqn10	5	5	16	1.9932971000671387	23.7083333333	12.0588113243	57.0	11.0	0.98411944181564	23.7083333333	12.0588113243	22.7083333333
dqn10	5	5	17	2.0602047443389893	23.612244898	11.9536798647	57.0	11.0	0.9831353223738244	23.612244898	11.9536798647	22.612244898
dqn10	5	5	18	2.125246286392212	23.48	11.8696924981	57.0	11.0	0.9821521870514506	23.48	11.8696924981	22.48
dqn10	5	5	19	2.1931052207946777	23.3333333333	11.7984157572	57.0	11.0	0.9811700348643991	23.3333333333	11.7984157572	22.3333333333
dqn10	5	5	20	2.260711669921875	23.0769230769	11.8270325198	57.0	10.0	0.9801888648295347	23.0769230769	11.8270325198	22.0769230769
dqn10	5	5	21	2.3304309844970703	22.8867924528	11.7948827685	57.0	10.0	0.9792086759647052	22.8867924528	11.7948827685	21.8867924528
dqn10	5	5	22	2.3971941471099854	22.8333333333	11.6916399382	57.0	10.0	0.9782294672887405	22.8333333333	11.6916399382	21.8333333333
dqn10	5	5	23	2.4672558307647705	22.6363636364	11.6749360697	57.0	10.0	0.9772512378214517	22.6363636364	11.6749360697	21.6363636364
dqn10	5	5	24	2.5341744422912598	22.4642857143	11.6403919388	57.0	10.0	0.9762739865836303	22.4642857143	11.6403919388	21.4642857143
dqn10	5	5	25	2.6021957397460938	22.298245614	11.6045437445	57.0	10.0	0.9752977125970467	22.298245614	11.6045437445	21.298245614
dqn10	5	5	26	2.669222593307495	22.4310344828	11.5476704159	57.0	10.0	0.9743224148844496	22.4310344828	11.5476704159	21.4310344828
dqn10	5	5	27	2.7366843223571777	22.3389830508	11.470832827	57.0	10.0	0.9733480924695651	22.3389830508	11.470832827	21.3389830508
dqn10	5	5	28	2.8040692806243896	22.1166666667	11.502306532	57.0	9.0	0.9723747443770956	22.1166666667	11.502306532	21.1166666667
dqn10	5	5	29	2.8736417293548584	21.9180327869	11.5109286375	57.0	9.0	0.9714023696327185	21.9180327869	11.5109286375	20.9180327869
dqn10	5	5	30	2.941343307495117	21.8709677419	11.4236368862	57.0	9.0	0.9704309672630859	21.8709677419	11.4236368862	20.8709677419
dqn10	5	5	31	3.0079190731048584	21.9523809524	11.3507269489	57.0	9.0	0.9694605362958227	21.9523809524	11.3507269489	20.9523809524
dqn10	5	5	32	3.075374126434326	21.96875	11.2624497085	57.0	9.0	0.9684910757595269	21.96875	11.2624497085	20.96875
dqn10	5	5	33	3.1436734199523926	22.0923076923	11.2191088045	57.0	9.0	0.9675225846837673	22.0923076923	11.2191088045	21.0923076923
dqn10	5	5	34	3.2106993198394775	22.196969697	11.1657209418	57.0	9.0	0.9665550620990835	22.196969697	11.1657209418	21.196969697
dqn10	5	5	35	3.278179407119751	22.6417910448	11.6564010889	57.0	9.0	0.9655885070369844	22.6417910448	11.6564010889	21.6417910448
dqn10	5	5	36	3.3474395275115967	22.5	11.6284387703	57.0	9.0	0.9646229185299474	22.5	11.6284387703	21.5
dqn10	5	5	37	3.414687395095825	22.4637681159	11.5477329605	57.0	9.0	0.9636582956114175	22.4637681159	11.5477329605	21.4637681159
