Experiment	TrialNo	seed	Episode	Time	AverageReturn	StdReturn	MaxReturn	MinReturn	AvgScoresFor100Episodes
pga10	4	4	2	0.04757428169250488	18.0	0.0	18.0	18.0	17.5
pga10	4	4	4	0.06261062622070312	14.5	3.5	18.0	11.0	13.5
pga10	4	4	6	0.09264159202575684	13.0	3.55902608401	18.0	10.0	16.3333333333
pga10	4	4	8	0.1092977523803711	12.25	3.34477204006	18.0	10.0	14.75
pga10	4	4	10	0.13255572319030762	12.0	3.03315017762	18.0	10.0	14.7
pga10	4	4	12	0.15604496002197266	11.6666666667	2.86744175568	18.0	10.0	14.9166666667
pga10	4	4	14	0.17285466194152832	11.5714285714	2.66496544374	18.0	10.0	14.3571428571
pga10	4	4	16	0.20016264915466309	13.875	6.58478359553	30.0	10.0	14.9375
pga10	4	4	18	0.23565983772277832	14.2222222222	6.28539361055	30.0	10.0	16.1111111111
pga10	4	4	20	0.27411746978759766	17.3	10.9913602434	45.0	10.0	17.3
pga10	4	4	22	0.2999303340911865	17.0909090909	10.5006886826	45.0	10.0	17.3636363636
pga10	4	4	24	0.32140183448791504	16.8333333333	10.0898739118	45.0	10.0	17.0416666667
pga10	4	4	26	0.3380296230316162	16.6153846154	9.72339337362	45.0	10.0	16.5769230769
pga10	4	4	28	0.36613988876342773	16.2142857143	9.48064623648	45.0	10.0	16.7857142857
pga10	4	4	30	0.38205623626708984	15.8	9.28942050579	45.0	10.0	16.3666666667
pga10	4	4	32	0.40991878509521484	16.8125	9.81210190275	45.0	10.0	16.59375
pga10	4	4	34	0.4542975425720215	19.0588235294	13.0900527489	55.0	10.0	17.5
pga10	4	4	36	0.48119163513183594	19.1111111111	12.7230712963	55.0	10.0	17.5555555556
pga10	4	4	38	0.4981355667114258	18.7368421053	12.4851157922	55.0	10.0	17.2105263158
pga10	4	4	40	0.5208141803741455	18.6	12.1835955284	55.0	10.0	17.125
pga10	4	4	42	0.5389254093170166	18.380952381	11.9302584113	55.0	10.0	16.8333333333
pga10	4	4	44	0.5694043636322021	18.4545454545	11.6608407335	55.0	10.0	17.0
pga10	4	4	46	0.600740909576416	18.4347826087	11.4049039298	55.0	10.0	17.2173913043
pga10	4	4	48	0.6285886764526367	18.4583333333	11.165345071	55.0	10.0	17.2916666667
pga10	4	4	50	0.6697432994842529	18.84	11.0983962805	55.0	10.0	17.78
pga10	4	4	52	0.7088282108306885	18.5384615385	10.986812967	55.0	10.0	18.1730769231
pga10	4	4	54	0.7790617942810059	20.3703703704	14.2650781778	68.0	10.0	19.4074074074
pga10	4	4	56	0.8077785968780518	20.5357142857	14.0343510788	68.0	10.0	19.4285714286
pga10	4	4	58	0.8332316875457764	20.1379310345	13.9499700604	68.0	9.0	19.3275862069
pga10	4	4	60	0.8567564487457275	20.0	13.7355985187	68.0	9.0	19.2166666667
pga10	4	4	62	0.8775215148925781	19.8064516129	13.5537623745	68.0	9.0	19.0483870968
pga10	4	4	64	0.9150180816650391	19.6875	13.3567340226	68.0	9.0	19.296875
pga10	4	4	66	1.0418543815612793	23.8181818182	26.8141239868	156.0	9.0	21.4696969697
pga10	4	4	68	1.0755178928375244	23.5588235294	26.458837261	156.0	9.0	21.4852941176
pga10	4	4	70	1.136960506439209	24.5428571429	26.7018917009	156.0	9.0	22.1571428571
pga10	4	4	72	1.1743321418762207	24.5277777778	26.3285714166	156.0	9.0	22.2916666667
pga10	4	4	74	1.2282981872558594	25.5945945946	26.7475277559	156.0	9.0	22.7567567568
pga10	4	4	76	1.2830557823181152	25.9473684211	26.4803277214	156.0	9.0	23.1710526316
pga10	4	4	78	1.3476037979125977	26.4615384615	26.3300999188	156.0	9.0	23.7564102564
pga10	4	4	80	1.4163963794708252	27.8	27.3095221489	156.0	9.0	24.45
pga10	4	4	82	1.5015869140625	28.9024390244	27.8609831897	156.0	9.0	25.3292682927
pga10	4	4	84	1.5602552890777588	28.7380952381	27.5474132601	156.0	9.0	25.7261904762
pga10	4	4	86	1.6260766983032227	29.4418604651	27.6046021825	156.0	9.0	26.2558139535
pga10	4	4	88	1.766430139541626	32.3181818182	33.1729440188	156.0	9.0	28.0227272727
pga10	4	4	90	1.8020241260528564	32.0444444444	32.8525023945	156.0	9.0	27.9444444444
pga10	4	4	92	1.9153850078582764	34.0	35.0415901962	156.0	9.0	29.1086956522
pga10	4	4	94	1.978956937789917	33.8085106383	34.6911223532	156.0	9.0	29.4255319149
pga10	4	4	96	2.0831730365753174	34.7083333333	34.8777378455	156.0	9.0	30.4166666667
pga10	4	4	98	2.133606433868408	35.0408163265	34.5967788896	156.0	9.0	30.5306122449
pga10	4	4	100	2.3140547275543213	35.82	34.6806516663	156.0	9.0	32.64
pga10	4	4	102	2.440187692642212	36.7843137255	35.0094181869	156.0	9.0	34.15
pga10	4	4	104	2.547788381576538	37.3461538462	34.9025481852	156.0	9.0	35.49
pga10	4	4	106	2.701770305633545	39.1886792453	37.0369813166	156.0	9.0	37.39
pga10	4	4	108	2.864863395690918	42.1666666667	42.6187882408	200.0	9.0	39.57
pga10	4	4	110	3.0000672340393066	43.4	43.1911607118	200.0	9.0	41.26
pga10	4	4	112	3.2661006450653076	46.1964285714	47.5632735127	200.0	9.0	44.92
pga10	4	4	114	3.456057071685791	47.8596491228	48.7595023925	200.0	9.0	47.54
pga10	4	4	116	3.6223349571228027	49.0172413793	49.121064861	200.0	9.0	49.64
pga10	4	4	118	3.781160831451416	51.5762711864	52.4576353331	200.0	9.0	51.57
pga10	4	4	120	3.989292860031128	54.05	55.3803289385	200.0	9.0	54.11
pga10	4	4	122	4.256942510604858	56.4426229508	57.9670693938	200.0	9.0	57.73
pga10	4	4	124	4.521919012069702	58.7580645161	60.2745560944	200.0	9.0	61.44
pga10	4	4	126	4.755491495132446	60.1587301587	60.8028837947	200.0	9.0	64.67
pga10	4	4	128	5.022269010543823	62.34375	62.7694737586	200.0	9.0	68.26
pga10	4	4	130	5.178380489349365	64.4615384615	64.5479134914	200.0	9.0	70.33
pga10	4	4	132	5.405370235443115	66.5151515152	66.1621613055	200.0	9.0	73.34
pga10	4	4	134	5.64679217338562	67.8656716418	66.5768315047	200.0	9.0	76.25
pga10	4	4	136	5.9156813621521	69.8088235294	67.9725847315	200.0	9.0	79.86
pga10	4	4	138	6.162783622741699	71.3333333333	68.6392938265	200.0	9.0	83.37
pga10	4	4	140	6.39114785194397	72.7714285714	69.1863263593	200.0	9.0	86.55
pga10	4	4	142	6.59625506401062	73.7323943662	69.1662536266	200.0	9.0	89.43
pga10	4	4	144	6.816547155380249	74.5138888889	68.9991934445	200.0	9.0	92.3
pga10	4	4	146	7.067193984985352	76.2328767123	70.0601542997	200.0	9.0	95.56
pga10	4	4	148	7.335318326950073	77.8918918919	71.0141911146	200.0	9.0	99.15
pga10	4	4	150	7.478256940841675	78.08	70.5577323899	200.0	9.0	100.67
pga10	4	4	152	7.64247989654541	78.1710526316	70.0964351068	200.0	9.0	102.51
pga10	4	4	154	7.884685516357422	79.2727272727	70.2989232268	200.0	9.0	105.09
pga10	4	4	156	8.149497509002686	80.8205128205	71.1550750645	200.0	9.0	108.67
pga10	4	4	158	8.404152870178223	82.3291139241	71.9477168679	200.0	9.0	112.07
pga10	4	4	160	8.667196035385132	83.8	72.6820816983	200.0	9.0	115.67
pga10	4	4	162	8.922332286834717	85.049382716	73.0913349198	200.0	9.0	119.22
pga10	4	4	164	9.174960613250732	86.1097560976	73.2684682616	200.0	9.0	122.38
pga10	4	4	166	9.44238805770874	87.4819277108	73.8781741325	200.0	9.0	124.54
pga10	4	4	168	9.699345350265503	88.6666666667	74.226059686	200.0	9.0	127.95
pga10	4	4	170	10.341286659240723	89.9764705882	74.7582734309	200.0	9.0	130.65
pga10	4	4	172	11.069819688796997	91.2558139535	75.2524721137	200.0	9.0	134.09
pga10	4	4	174	11.49300217628479	92.5057471264	75.7113200912	200.0	9.0	137.28
pga10	4	4	176	11.912331342697144	93.7272727273	76.1372455851	200.0	9.0	140.49
pga10	4	4	178	12.21947979927063	94.9213483146	76.5324671823	200.0	9.0	143.55
pga10	4	4	180	12.402047157287598	94.7	76.1347416682	200.0	9.0	145.25
pga10	4	4	182	12.664162635803223	95.8571428571	76.5069229689	200.0	9.0	148.02
pga10	4	4	184	12.924478769302368	96.9891304348	76.8524128451	200.0	9.0	151.16
pga10	4	4	186	13.19796895980835	98.0967741935	77.1729052286	200.0	9.0	154.17
pga10	4	4	188	13.462730169296265	99.1808510638	77.469961614	200.0	9.0	156.07
pga10	4	4	190	13.729981899261475	100.242105263	77.7450239788	200.0	9.0	159.56
pga10	4	4	192	14.0018150806427	101.28125	77.9994261631	200.0	9.0	161.91
pga10	4	4	194	14.267112731933594	102.298969072	78.2344039263	200.0	9.0	165.01
pga10	4	4	196	14.53652048110962	103.295918367	78.4511038649	200.0	9.0	167.45
pga10	4	4	198	14.801825284957886	104.272727273	78.6505913444	200.0	9.0	170.71
pga10	4	4	200	15.06361174583435	105.23	78.833857574	200.0	9.0	171.97
pga10	4	4	202	15.325724363327026	106.168316832	79.0018259354	200.0	9.0	174.09
pga10	4	4	204	15.593754291534424	107.088235294	79.1553576576	200.0	9.0	176.54
pga10	4	4	206	15.864514112472534	107.990291262	79.2952569188	200.0	9.0	178.18
pga10	4	4	208	16.128039836883545	108.875	79.422275443	200.0	9.0	179.78
pga10	4	4	210	16.394787549972534	109.742857143	79.5371166511	200.0	9.0	181.78
pga10	4	4	212	16.66710615158081	110.594339623	79.6404394174	200.0	9.0	181.78
pga10	4	4	214	16.903559684753418	111.429906542	79.7328614754	200.0	9.0	182.45
pga10	4	4	216	17.172157049179077	112.25	79.8149625117	200.0	9.0	183.95
pga10	4	4	218	17.4149432182312	112.724770642	79.6010547576	200.0	9.0	185.13
pga10	4	4	220	17.641154050827026	113.518181818	79.6701988105	200.0	9.0	185.47
